Time,Event
2025-05-18 10:31:21,Client_1 Loading Dataset
2025-05-18 10:31:21,Client_1 CNN Model Loading
2025-05-18 10:31:21,Client_1 CNN Model Loaded
2025-05-18 10:31:21,Client_1 Federated Learning Process Started
2025-05-18 10:31:26,Round: 1_Client_1 Train Started.
2025-05-18 10:31:29,Round_1_Client_1 Train Ended
2025-05-18 10:31:34,Round_1_Client_1 Test Start
2025-05-18 10:31:35,Client_1 Test Ended
2025-05-18 10:31:37,Round: 2_Client_1 Train Started.
2025-05-18 10:31:39,Round_2_Client_1 Train Ended
2025-05-18 10:31:44,Round_2_Client_1 Test Start
2025-05-18 10:31:45,Client_1 Test Ended
2025-05-18 10:31:45,Client_1 Federated Learning Process Ended
